ISO,gdppercapita1950,gdppercapita1960,gdppercapita1970,gdppercapita1980,gdppercapita1990,gdppercapita2000,gdppercapita2011
NPL,no data,690.16,754.17,692.38,919.37,1036.42,1185.38
NZL,10844.47,12183.85,14157.92,14965.32,18694.86,24233.6,26666.53
OMN,no data,no data,4029.8,10106.52,9303.65,12693.21,31054.64
PAK,1086.43,964.62,1453.33,1613.18,1974.19,2052.63,2472.89
PAN,1980.17,2514.12,4630.29,5661.51,5661.12,7819.56,12154.75
PER,1929.08,2416.16,3357.04,3676.94,3123.25,4484.42,8923.98
PHL,1277.72,1708.43,2076.39,2756.8,3090.2,3339.96,3521.06
POL,no data,no data,4616.73,5353.42,7113.65,11967.19,18430.43
PRT,2384.69,3656.6,6807.18,8935.29,12756.31,19823.82,22289.9
PRY,no data,1426.37,1815.4,3021.47,3255.29,3156.01,4351.3
QAT,no data,no data,79686.53,67075.55,23780.86,44402.26,124720.4
ROU,no data,1275.67,2526.24,5586.11,6057.21,6633.15,13574.31
RUS,no data,no data,no data,no data,17918.28,9256.31,18678.27
RWA,no data,939.63,971.2,1103.64,1069.21,676.97,1201.5
SAU,no data,no data,13668.99,24636.1,12067.37,14519.22,25556.48
SDN,no data,no data,1010.46,1084.84,1146.55,1399.42,2373.99
SEN,no data,2051.59,1633.78,1489.04,1888.61,1542.7,1411.72
SGP,no data,2413.18,5262.33,11147.39,18325.63,34043.11,51643.66
SLE,no data,no data,1182.68,1109.16,1408.05,717.24,867.03
SLV,599.5,655.28,816.88,905.05,706.53,994.38,1116.53
SRB,no data,no data,no data,no data,6846.72,6473.17,9574.92
STP,no data,no data,1313.2,1653.33,1218.17,1166.78,1851.73
SUR,no data,no data,4156.31,5383.11,5444.08,4865.56,6699.65
SVK,no data,no data,no data,no data,14880.93,12799.79,21466.95
SVN,no data,no data,no data,no data,18042.42,20054.6,24364.6
SWE,8502.25,11377.22,16515.69,18391.18,23638.51,31800.44,36100.79
SWZ,no data,no data,1504.57,2754.92,4062.23,4518.8,4239.25
SYR,no data,1691.53,2743.49,2394.33,1051.47,1270.56,3919.02
TCD,no data,1028.32,1123.32,723.52,989.63,784.11,1851.12
TGO,no data,675.77,1082.39,1215.38,959.82,814.54,946.69
THA,946.74,986.21,1982.1,2840.23,4391.59,6184.23,8491.04
TJK,no data,no data,no data,no data,5694.42,1355.75,2436.89
TKM,no data,no data,no data,no data,9202.25,7062.73,12530.98
TTO,3624.24,6422.25,9203.12,21266.47,10291.16,10877.76,20196.31
TUN,no data,1380.85,2200.06,3718.98,4712.96,6306.01,6632.04
TUR,2683.29,4055.07,5732.4,6636.75,9020.82,10262.34,14437.29
TWN,no data,1881.47,3770.13,7782.13,14863.61,24882.2,28413.56
TZA,no data,898.53,1287.4,1321.89,836.32,749.62,1269.39
UGA,895.82,843.85,985.33,573.13,625.38,851.34,1187.03
UKR,no data,no data,no data,no data,9271.57,3876.68,8175.74
URY,5644.28,6411.27,7049.31,8475.74,8035.47,9591,12625.06
USA,12801.68,15220.28,20494.5,25021.06,31343.7,40488.71,42646.21
UZB,no data,no data,no data,no data,4219.09,3357.5,6208.95
VCT,no data,no data,2805.53,3245.07,5037.5,7036.83,8091.78
VEN,5792.81,7223.87,8744.6,9396.51,7721.14,6170.32,10342.57
VNM,no data,no data,700.06,847.53,1181.46,1764.33,3447.77
YEM,no data,no data,no data,no data,617.14,947.27,2048.48
ZAF,3533.39,3948.72,5312.42,6596.71,5519.82,5913.55,8457.45
ZMB,no data,3039.49,3873.56,1458.72,1285.28,946.43,2051.71
ZWE,no data,1804.67,2128.35,2303.08,3768.59,4415.45,4347.79
